Product ID,Country Code,Price Tier
family.aladdin.ios.subscription.free,AE,0
family.aladdin.ios.subscription.free,AG,0
family.aladdin.ios.subscription.free,AI,0
family.aladdin.ios.subscription.free,AL,0
family.aladdin.ios.subscription.free,AM,0
family.aladdin.ios.subscription.free,AO,0
family.aladdin.ios.subscription.free,AR,0
family.aladdin.ios.subscription.free,AT,0
family.aladdin.ios.subscription.free,AU,0
family.aladdin.ios.subscription.free,AZ,0
family.aladdin.ios.subscription.free,BB,0
family.aladdin.ios.subscription.free,BD,0
family.aladdin.ios.subscription.free,BE,0
family.aladdin.ios.subscription.free,BG,0
family.aladdin.ios.subscription.free,BH,0
family.aladdin.ios.subscription.free,BJ,0
family.aladdin.ios.subscription.free,BM,0
family.aladdin.ios.subscription.free,BN,0
family.aladdin.ios.subscription.free,BO,0
family.aladdin.ios.subscription.free,BR,0
family.aladdin.ios.subscription.free,BS,0
family.aladdin.ios.subscription.free,BW,0
family.aladdin.ios.subscription.free,BY,0
family.aladdin.ios.subscription.free,BZ,0
family.aladdin.ios.subscription.free,CA,0
family.aladdin.ios.subscription.free,CH,0
family.aladdin.ios.subscription.free,CL,0
family.aladdin.ios.subscription.free,CN,0
family.aladdin.ios.subscription.free,CO,0
family.aladdin.ios.subscription.free,CR,0
family.aladdin.ios.subscription.free,CV,0
family.aladdin.ios.subscription.free,CY,0
family.aladdin.ios.subscription.free,CZ,0
family.aladdin.ios.subscription.free,DE,0
family.aladdin.ios.subscription.free,DK,0
family.aladdin.ios.subscription.free,DM,0
family.aladdin.ios.subscription.free,DO,0
family.aladdin.ios.subscription.free,DZ,0
family.aladdin.ios.subscription.free,EC,0
family.aladdin.ios.subscription.free,EE,0
family.aladdin.ios.subscription.free,EG,0
family.aladdin.ios.subscription.free,ES,0
family.aladdin.ios.subscription.free,FI,0
family.aladdin.ios.subscription.free,FJ,0
family.aladdin.ios.subscription.free,FR,0
family.aladdin.ios.subscription.free,GB,0
family.aladdin.ios.subscription.free,GD,0
family.aladdin.ios.subscription.free,GH,0
family.aladdin.ios.subscription.free,GM,0
family.aladdin.ios.subscription.free,GR,0
family.aladdin.ios.subscription.free,GT,0
family.aladdin.ios.subscription.free,GW,0
family.aladdin.ios.subscription.free,GY,0
family.aladdin.ios.subscription.free,HK,0
family.aladdin.ios.subscription.free,HN,0
family.aladdin.ios.subscription.free,HR,0
family.aladdin.ios.subscription.free,HU,0
family.aladdin.ios.subscription.free,ID,0
family.aladdin.ios.subscription.free,IE,0
family.aladdin.ios.subscription.free,IL,0
family.aladdin.ios.subscription.free,IN,0
family.aladdin.ios.subscription.free,IS,0
family.aladdin.ios.subscription.free,IT,0
family.aladdin.ios.subscription.free,JM,0
family.aladdin.ios.subscription.free,JO,0
family.aladdin.ios.subscription.free,JP,0
family.aladdin.ios.subscription.free,KE,0
family.aladdin.ios.subscription.free,KG,0
family.aladdin.ios.subscription.free,KH,0
family.aladdin.ios.subscription.free,KN,0
family.aladdin.ios.subscription.free,KR,0
family.aladdin.ios.subscription.free,KW,0
family.aladdin.ios.subscription.free,KY,0
family.aladdin.ios.subscription.free,KZ,0
family.aladdin.ios.subscription.free,LA,0
family.aladdin.ios.subscription.free,LB,0
